Buy Now,Comprar Ahora
Right to Cancel under the ICACRs, El derecho a cancelar mediante ICACRs
"You have the right to cancel your order within 14 days without giving any reason." , "Se tiene derecho a cancelar el pedido dentro del plazo de 14 días por el motivo que sea."
"The cancellation period will expire 14 days from the day after the day on which the last of the goods where delivered to the given shipment address.","El período de cancelación caduca a los 14 días de ser entregado el último de los artículos en la dirección establecida en el pedido."
"To cancel the order, please notify in writing to Elite- Gran Calibre, Pol. Ind. Nueva Campana, Nave 96, Marbella (Málaga), 29660, Spain, or by ", "Para cancelar un pedido hay que notificarlo por escrito a Elite- Gran Calibre, Pol. Ind. Nueva Campana, Nave 96, Marbella (Málaga), 29660, España, o a través del siguiente "
"contact form", "formulario de contacto"
"You will have to bear the cost of returning the goods. We will be happy to organize the return shipment for you with our curriers, in which case we will then deduct these costs from the amount to refund. If you prefer you can organize your own return shipment.", "El coste de la devolución correrá a cargo del cliente. Si el cliente lo desea estaremos encantados de organizar el envío de devolución con nuestros servicios de mensajería, en cuyo caso deduciremos el importe de la cantidad a reembolsar. Si el cliente lo prefiere puede realizar su propio envío."
"We will make a full refund, including the original shipping cost, once we receive the returned items. In the event that two different types of shipping were offered, and the client has chosen the more expensive one, Elitestores.com will refund the amount of the less expensive shipping option, independently to the option chosen by the client.", "Efectuaremos el reembolso íntegro, incluidos los gastos de envío, una vez hayamos recibido los artículos devueltos. En el caso en que se ofrecieran dos tipos de envío, y el cliente eligiera el más caro de los dos, Elitestores.com reembolsara solo el importe de la opción de menor coste, independientemente de la opción elegida por el cliente."
"We will make a deduction from the reimbursement for loss in value of any items supplied, if the loss is the result of unnecessary handling on your behalf.", "Efectuaremos una deducción al reembolso en el caso de pérdida de valor de alguno de los artículos, como resultado de una manipulación innecesaria por parte del cliente."
"Returns must be sent and notified within 14 days.", "Las devoluciones deberán ser notificados y enviados en el plazo de 14 días."
"Returns must be sent to Elite- Gran Calibre, Pol. Ind. Nueva Campana, Nave 96, Marbella (Málaga), 29660, Spain.", "Las devoluciones se enviarán a Elite- Gran Calibre, Pol. Ind. Nueva Campana, Nave 96, Marbella (Málaga), 29660, España."
"RETURNS AND EXCHANGES USING OUR FREE COLLECTION SERVICE", "CAMBIOS Y DEVOLUCIONES UTILIZANDO EL SERVICIO DE RECOGIDA GRATUITO"
"If for any reason clients are not satisfied with an order, the item(s) can be returned for size exchange, store credit or refund within 14 days of the merchandise&apos;s delivery date.", "Si por cualquier motivo un cliente no queda satisfecho con un pedido, el artículo podrá ser devuelto, para cambio, vale, o devolución, en el plazo de 14 días a contar desde el momento en que la mercancía es entregada."
" to request a Return Authorization Number (R.A.N.). Please include the Order Number (T#######), the Item Code(s) of the item(s) to be returned, and state if the return is for a size exchange, store credit or a refund. Upon receiving the request, Elitestores.com will send an e-mail with instructions to follow, including the number of return authorization (RAN) and the invoice to be attached for shipping.", " y solicita un Número de Autorización de Devolución (R.A.N.). Incluyendo el número de pedido, la referencia del artículo, y especificando si se solicita un cambio de talla, vale o devolución. Tras recibir la solicitud Elitestores.com enviará un email con las instrucciones a seguir, incluyendo el número de autorización (R.A.N.) y la factura a adjuntar en el retorno."
"Please write the Return Authorization Number (RAN) on the outside of the box and complete the delivery note as instructed by the RAN email.", "2.	Escribir el número de autorización (RAN) en el exterior de la caja, y rellenar la recogida tal y como se especifica en las instrucciones recibidas por email."
"Shipment for returned items must be picked up for Courier within 7 days following receipt of the e-mail with instructions.","3.	Los envíos de devolución deben ser recogidos por el transportista dentro de los 7 días posteriores a la recepción del email de instrucciones." 
"Clients can choose between three compensation options:", "El cliente podrá elegir entre las siguientes opciones:"
"Size exchange:", "Cambio de talla:"
"Items can be exchanged for a different size or color, or even for a different model.", ": Los artículos pueden ser cambiados por otra talla, color, o incluso por otro modelo."
"Store Credit:", "Vale de tienda:"
"A code will be generated with the amount of the refund, this code will be associated to your ID and may be used in a future order.", "Se le cargará el importe de la devolución a la cuenta del cliente."
"Refund:", "Reembolso:"
"We will proceed with your refund once we have received the returned items. Your refund will be credited to the original form of payment.", "Procederemos con el reembolso una vez recibamos los artículos devueltos. El reembolso se efectuará en la misma forma de pago de la compra."
"If your order has been sent to a destination within the EU, all sales taxes will be refunded. Outside the EU, customs duties and sales taxes are non-refundable through Elitestores.com. However, you may be able to recover these by contacting your local customs bureau directly. As this may not be available for all countries, we recommend that you hire a customs broker if you wish to claim back duties on returned merchandise.", "En el caso de un pedido enviado dentro de la UE todos los impuestos serán devueltos. Fuera de la UE, los impuestos y gastos de aduana no serán reembolsados a través de Elitestores.com. Sin embargo, es posible que se puedan recuperar estos gastos contactando directamente con las autoridades aduaneras del país. Es posible que no esté disponible esta opción para todos los países, por lo que recomendamos contratar a un agente de aduanas para efectuar la reclamación."
"Please note that refunds can take up to 10 working days to show on your account due to varying processing times between payment providers.", "Los reembolsos pueden tardar hasta 10 días laborables para aparecer en la cuenta, en función del banco emisor de la tarjeta."
"In case the order is totally or partially returned for reasons not attributable to Elitestores.com and the final invoice is lower than 500€, you will lose the &quot;free shipping promotion for orders of 500€ and over&quot;; for this reason the original shipping costs will be deducted from the amount to refund.", "En el caso en que un pedido sea devuelto total o parcialmente por razones no atribuibles a Elitestores.com y la factura resultante sea inferior a 500€, se perderá la &quot;promoción de envíos gratuitos para pedidos iguales o superiores a 500€&quot;; por esta razón los gastos de envío originales se deducirán del importe a devolver."
"RETURN POLICY", "POLÍTICA DE DEVOLUCIONES"
"Items should be returned unused and with the security tag and designer tags intact.", "Los artículos deben ser devueltos sin usar, y con la etiqueta de seguridad intacta."
"Items that are returned damaged or spoiled will not be accepted and will be returned to the customer, and the refund will be refused. All accessories, or designer packaging provided such as dust bags, authenticity cards, and leather tags must be returned.", "Los artículos que se devuelvan estropeados o con daños no serán aceptados, y serán devueltos al cliente. El reembolso será denegado. Todos los accesorios, o embalaje específico de la firma, tal como fundas, tarjetas de autentificación, etiquetas, deben ser devueltos junto con el artículo."
"Do not use the shoebox as external packaging for shipping. Please use the Elite Store box.", "No usar la caja de zapatos como embalaje externo para el envío. Utilizar la caja de envío de Elitestores.com"
"Pick-ups for all authorized returns must be sent from the same country of the original shipment.", "La devoluciones han de hacerse desde el mismo país en que se recibió el pedido."
"Elitestores.com reserves the right to refuse returns that are unauthorized and/or not submitted according to the instructions in the email authorizing the return. Elitestores.com will not accept returned merchandise that does not follow the terms and conditions of the returns policy. Such items will be returned to the sender at the original shipment address.", "Elitestores.com se reserva el derecho a rechazar una devolución que no haya sido autorizada o efectuada de acuerdo con las instrucciones recibidas en el email de autorización. Elitestores.com no aceptará devoluciones de mercancía que no cumplan los términos y condiciones de la política de devoluciones. Estos artículos serán devueltos al remitente en la dirección de envío original."
"Lingerie and swimwear", "Ropa íntima y de baño"
"For hygiene reasons we do cannot accept returns of underwear.", "Por razones de higiene no podemos aceptar la devolución de ropa íntima."
"Swimming costumes, bikini bottoms or briefs must be tried on over underwear. Returns will not be accepted if the protective hygienic strip has been removed. Items that have any sign of use or wear will be returned to the client.", "Bañadores, bikinis o  slips deberán ser probados por encima de la ropa interior. No se aceptarán devoluciones una vez retirado el plástico protector. Los artículos que presenten signos de uso serán devueltos al cliente."
"Technology", "Artículos tecnológicos"
"Technology goods should be returned in their original packaging.", "Artículos tecnológicos deberán ser devueltos en su embalado original."
"Beauty", "Cosmética"
"Skincare products, cosmetics, and hair care must be returned unused, unopened, and in their original packaging, otherwise they will not be accepted.", "Productos de cosmética, deberán ser devueltos precintados, y con el embalado original, en caso contrario no serán aceptados."
"Defective Items", "Artículos defectuosos"
"All items are quality controlled and checked for any faults before they are dispatched to customers. Should you receive an item that is not in perfect condition, please contact us immediately. Goods are classified as faulty if they are received damaged, or where a manufacturing fault occurs within six months of purchase. Please note that items that are damaged as a result of wear and tear are not considered to be faulty. Where possible, we will offer to repair faulty items. If you would like to exchange your item, please be aware that we can only replace it for the same product in the same size, subject to availability. You will receive a full refund if the item cannot be repaired or replaced.", "Todos los artículos pasan un control de calidad y son revisados por si tuvieran algún defecto antes de ser enviados. En el caso en que se recibiera un artículo que no estuviera en perfectas condiciones, el cliente deberá contactar con nosotros de forma inmediata. Los artículos se consideran defectuosos si se reciben con algún daño, o si tuvieran un defecto de fabricación dentro del los 6 meses posteriores a la compra. Los artículos dañados como consecuencia del uso no son considerados defectuosos. En el caso que sea posible, repararemos los artículos defectuosos. En el caso que se quiera cambiar el artículo, solo podremos efectuar el cambio por la misma talla, si esta estuviera disponible. En el caso que no se pueda reparar o reponer, efectuaremos un reembolso."
Colors, Colores
"Though we make every effort to display all products as accurate as possible, as computer monitors vary, we cannot guarantee that your monitor´s display of any color will be completely accurate.", "A pesar de emplear todas las medidas posibles para mostrar los productos de la forma más precisa posible, al existir variedad en los monitores de cada ordenador, no podemos garantizar la precisión en los colores."
"Repeated Returns", "Repetidas Devoluciones"
"We try to make your shopping experience easier by offering a flexible return policy. We do monitor the number of returns made by customers. If we detect continued returns, they can potentially be refused or even lead to the closure of your Elitestores.com account.", "Intentamos hacer que la experiencia de compra sea más sencilla ofreciendo una política de devoluciones flexible. Sin embargo, monitorizamos el número de devoluciones que realiza un cliente. Si detectamos múltiples devoluciones, estos podrán ser rechazados o incluso podrán llevar al cierre de la cuenta de Elitestores.com" 
"Non Acceptance Upon Delivery", "NO ACEPTACIÓN DEL PEDIDO EN LA ENTREGA"
"If for any reason a client refuses to accept an order upon delivery, Elitestores.com will deduct both the original and return shipping costs from the amount to refund.", "Si por el motivo que fuera, un cliente se negara a aceptar un pedido en la entrega, Elitestores.com deducirá del importe a devolver, tanto los gastos de envío originales como de retorno."
"If a shipment is refused we will do what we can to nullify the customs charges and have the shipment returned to Elitestores.com. We cannot guarantee that customs charges can be voided for a refused shipment. If not, we will deduct this amount from your refund. Both the original and return shipping fees, plus any additional customs charges, will be deducted from the refund.", "Si un envío es rechazado haremos todo lo posible para anular los gastos de aduanas y retornar el pedido a Elitestores.com. No podemos garantizar que los gastos de aduanas puedan ser anulados. En el caso que no se puedan anular deduciremos este importe de la cantidad a reembolsar. Tanto los gastos de envío originales, como los de retorno, así como cualquier gasto adicional de gestión de aduanas será deducido del importe a devolver."
" Private Sale SS'17", " Rebajas Privadas SS'17"
"SUMMER SALE NOW ON!","SUMMER SALE"
"Up to 40% off selected SS17 items. No action required during the checkout, the prices are already marked down.","40% dto. en una selección de artículos de PV17. Los precios ya están marcados."
"Available worldwide, except EU.", "Disponible para todo el mundo, excepto UE"
